x, y, cal_s11, acc_s11, s11_error,, cal_s22, acc_s22, s22_error, cal_s12, acc_s12, s12_error,,0,3761
0.073801,1.107683,-24.41326,-23.763533,-2.734136,2.734136,-2.164478,-2.321421,6.760627,1.253567,1.001569,25.160284,,5,262
0.073353,1.168834,-24.41326,-21.512162,-13.485852,13.485852,-2.164478,-2.955437,26.762847,1.253567,0.625159,100.519679,,10,64
0.029431,1.115322,-24.41326,-23.67098,-3.135826,3.135826,-2.164478,-2.373381,8.801898,1.253567,0.3853,225.347889,,15,30
2.841886,0.026106,-7.233242,-7.135712,-1.366784,1.366784,-0.273879,-0.388538,29.510409,0.1774,0.048407,266.476,,20,16
2.795382,0.104423,-7.233242,-7.066951,-2.353072,2.353072,-0.273879,-0.384282,28.729736,0.1774,0.201377,-11.906667,,25,13
2.753844,0.026106,-7.233242,-6.965618,-3.842059,3.842059,-0.273879,-0.397843,31.158947,0.1774,0.052596,237.289315,,30,11
1.220259,1.773664,-12.617691,-12.243225,-3.058556,3.058556,1.060861,0.700708,51.398311,0.094213,0.033114,184.511874,,35,4
1.261368,1.728036,-12.617691,-12.194729,-3.468397,3.468397,1.060861,0.862955,22.933406,0.094213,0.187673,-49.799509,,40,5
1.288465,1.827694,-12.617691,-12.09172,-4.349843,4.349843,1.060861,0.747789,41.866265,0.094213,0.055643,69.316974,,45,3
0.800478,4.083833,-10.592065,-10.424962,-1.602919,1.602919,-0.542718,-0.64442,15.781987,-0.322088,-0.259752,-23.998469,,50,7
0.804621,3.966339,-10.592065,-10.457224,-1.289456,1.289456,-0.542718,-0.667304,18.670118,-0.322088,-0.279126,-15.39167,,55,5
0.93233,4.017007,-10.592065,-10.463762,-1.226173,1.226173,-0.542718,-0.592092,8.338935,-0.322088,-0.294538,-9.353553,,60,2
0.385804,2.081713,-12.003532,-12.021047,0.145699,0.145699,-2.121573,-2.144543,1.071109,-0.540682,-0.593473,8.89532,,65,1
0.44038,2.178045,-12.003532,-11.814802,-1.597409,1.597409,-2.121573,-1.917413,-10.647683,-0.540682,-0.616103,12.241647,,70,1
0.368401,2.16585,-12.003532,-11.817216,-1.576655,1.576655,-2.121573,-2.093437,-1.344015,-0.540682,-0.548636,1.449841,,75,0
2.651708,2.474887,-10.735565,-10.58847,-1.389207,1.389207,0.813592,0.693208,17.366339,0.546665,0.47171,15.890103,,80,3
2.623777,2.37202,-10.735565,-10.568725,-1.578624,1.578624,0.813592,0.729439,11.536644,0.546665,0.538362,1.542206,,85,0
2.759122,2.38703,-10.735565,-10.476908,-2.468833,2.468833,0.813592,0.693062,17.390985,0.546665,0.561532,-2.64754,,90,0
2.218432,2.105968,-11.077063,-10.809251,-2.477621,2.477621,1.087739,0.920357,18.186569,0.644549,0.626831,2.826523,,95,5
2.295634,2.175783,-11.077063,-10.764524,-2.903422,2.903422,1.087739,0.87162,24.79512,0.644549,0.589991,9.247131,,100,54
2.156575,2.205951,-11.077063,-10.919903,-1.439206,1.439206,1.087739,0.872339,24.692195,0.644549,0.485182,32.846777,,,4247
4.607375,3.685645,-10.325199,-10.153761,-1.688425,1.688425,0.326282,0.279912,16.565773,0.272802,0.257893,5.780874,,,
4.490918,3.622037,-10.325199,-10.16572,-1.568799,1.568799,0.326282,0.292955,11.376139,0.272802,0.265546,2.732466,,,
4.629453,3.497217,-10.325199,-10.119616,-2.031531,2.031531,0.326282,0.282018,15.695375,0.272802,0.292133,-6.617306,,,
0.504939,2.093625,-12.376867,-12.025935,-2.918127,2.918127,-1.693227,-1.811994,6.554503,-0.821943,-0.692312,-18.724455,,,
0.474515,2.159989,-12.376867,-11.865126,-4.312987,4.312987,-1.693227,-1.847711,8.360863,-0.821943,-0.650401,-26.374856,,,
0.419939,2.063657,-12.376867,-12.076812,-2.484555,2.484555,-1.693227,-2.074118,18.364004,-0.821943,-0.632954,-29.858207,,,
1.459819,3.302226,-11.047093,-10.838287,-1.926556,1.926556,-0.104785,-0.194322,46.076465,-0.458879,-0.392159,-17.013521,,,
1.420308,3.414871,-11.047093,-10.776942,-2.506749,2.506749,-0.104785,-0.253933,58.735063,-0.458879,-0.391666,-17.160949,,,
1.322849,3.288433,-11.047093,-10.832641,-1.979687,1.979687,-0.104785,-0.315795,66.818598,-0.458879,-0.424737,-8.038436,,,
1.39171,0.163205,-1.455294,-1.494297,2.61016,2.61016,1.115132,1.403875,-20.56755,1.143928,1.13034,1.202083,,,
